Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT1","~","SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0-H7.3",157.800000,-76.800000,180.000000,top
"C1","1uF","C0603",137.900000,-56.046500,90.000000,top
"C2","100nF","C0603",159.600000,-81.500000,0.000000,top
"C3","22uF","CAP-SMD_L3.5-W2.8",138.000000,-114.500000,0.000000,top
"C4","22uF","C0805",140.000000,-50.500000,-90.000000,top
"C5","100nF","C0603",137.500000,-50.300000,-90.000000,top
"C6","100nF","C0603",174.300000,-55.500000,0.000000,top
"C7","100nF","C0603",189.942893,-53.806000,180.000000,top
"CAP1","10uF","CAP-SMD_L2.0-W1.3-FD",138.000000,-110.000000,0.000000,top
"D1","~","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",167.500000,-103.000000,0.000000,top
"F1","~","F1812",156.146500,-112.500000,180.000000,top
"Q1","~","SOT-23-3_L3.0-W1.6-P1.90-LS2.8-BR",147.300000,-92.600000,0.000000,top
"Q2","~","SOT-23-3_L3.0-W1.6-P1.90-LS2.8-BR",147.000000,-103.200000,0.000000,top
"Q3","~","SOT-23-3_L3.0-W1.6-P1.90-LS2.8-BR",159.000000,-103.200000,0.000000,top
"R1","5.1kΩ","R0805",176.942933,-102.442933,-90.000000,top
"R2","5.1kΩ","R0805",173.956433,-102.442933,90.000000,top
"R3","10kΩ","R0603",135.900000,-56.046500,-90.000000,top
"R4","100Ω","R0603",155.900000,-81.500000,0.000000,top
"R5","100Ω","R0603",151.200000,-91.600000,0.000000,top
"R6","10kΩ","R0603",151.100000,-93.500000,180.000000,top
"R7","100Ω","R0603",151.200000,-102.000000,0.000000,top
"R8","10kΩ","R0603",151.200000,-104.473500,0.000000,top
"R9","100Ω","R0603",162.900000,-101.800000,0.000000,top
"R10","10kΩ","R0603",162.900000,-104.273500,0.000000,top
"R11","100Ω","R0603",177.561750,-95.051500,90.000000,top
"R12","100Ω","R0603",173.653500,-60.900000,0.000000,top
"R13","100Ω","R0603",177.600000,-81.900000,90.000000,top
"R14","100Ω","R0603",177.600000,-88.500000,90.000000,top
"R15","33Ω","R0603",150.000000,-98.500000,180.000000,top
"R16","33Ω","R0603",148.146500,-83.600000,180.000000,top
"R17","33Ω","R0603",147.146500,-76.500000,180.000000,top
"R18","33Ω","R0603",130.100000,-57.500000,0.000000,top
"R19","100Ω","R0603",177.600000,-75.600000,90.000000,top
"R20","100Ω","R0603",177.500000,-68.900000,90.000000,top
"RESET1","~","SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0-H7.3",157.800000,-86.200000,0.000000,top
"U1","2.4GHz","WIRELM-SMD_ESP32-S3-WROOM-1",154.250000,-57.902717,0.000000,top
"U2","~","LED0603-FD",177.700000,-59.000000,0.000000,top
"U3","~","LED0603-FD",173.753500,-59.000000,0.000000,top
"U4","~","LED0603-FD",179.500000,-81.800000,90.000000,top
"U5","~","MIC-SMD_6P-L4.0-W2.0_LMD4020T261-OC3",172.015000,-51.340000,0.000000,top
"U6","~","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR",146.500000,-112.500000,0.000000,top
"U7","~","TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL",160.000000,-95.000000,90.000000,top
"U8","249Ω","R0603",150.000000,-96.500000,180.000000,top
"U9","249Ω","R0603",148.146500,-81.600000,180.000000,top
"U10","249Ω","R0603",147.146500,-74.500000,180.000000,top
"U11","249Ω","R0603",130.100000,-59.600000,0.000000,top
"U12","~","MIC-SMD_6P-L4.0-W2.0_LMD4020T261-OC3",189.502893,-56.591000,90.000000,top
"U13","~","LED0603-FD",179.400000,-88.400000,90.000000,top
"U14","~","LED0603-FD",179.500000,-75.500000,90.000000,top
"U15","~","LED0603-FD",179.538250,-68.795000,90.000000,top
"U16","249Ω","R0603",177.600000,-61.100000,0.000000,top
"U17","~","LED0603-FD",179.500000,-95.000000,90.000000,top
"USB1","~","USB-C_SMD-TYPE-C-31-M-12",167.500000,-112.502250,0.000000,top
"USB2","~","USB-A-TH_AF-SS-JB17.6",139.350000,-81.000000,-90.000000,top
"USB3","~","USB-A-TH_AF-SS-JB17.6",139.350000,-99.000000,-90.000000,top
"USB4","~","USB-C_SMD-TYPE-C-31-M-12",189.025000,-110.706000,0.000000,top
"USB4","~","USB-C_SMD-TYPE-C-31-M-12",189.000000,-75.974000,0.000000,top
"USB4","~","USB-C_SMD-TYPE-C-31-M-12",189.000000,-93.124000,0.000000,top
"USB5","~","USB-C_SMD-TYPE-C-31-M-12",131.497750,-65.850000,-90.000000,top
